City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Namibe,AO,2020-06-20 04:03:16,-15.2,12.15,70.0,54,0,5.01
140,Onega,RU,2020-06-20 04:13:07,63.91,38.14,48.43,62,10,9.4
141,Matagami,CA,2020-06-20 04:04:12,49.75,-77.63,68.0,94,90,2.24
142,Kalmar,SE,2020-06-20 04:13:08,56.66,16.36,60.01,93,54,4.7
143,Xichang,CN,2020-06-20 04:13:08,27.9,102.26,75.74,69,99,1.1
144,Sao Francisco Do Sul,BR,2020-06-20 04:13:08,-26.24,-48.64,66.99,83,15,3.15
145,Newport,GB,2020-06-20 04:11:33,51.59,-3.0,57.0,97,92,7.34
146,Kaitangata,NZ,2020-06-20 04:03:20,-46.28,169.85,46.0,83,69,3.0
147,Palu,ID,2020-06-20 04:13:09,-0.89,119.87,85.98,69,82,3.49
148,Lardos,GR,2020-06-20 04:13:09,36.09,28.02,75.99,83,20,9.17
149,Mount Gambier,AU,2020-06-20 04:03:18,-37.83,140.77,50.0,87,90,11.41
150,Tiznit,MA,2020-06-20 04:13:09,29.58,-9.5,63.7,70,0,1.1
151,Yellowknife,CA,2020-06-20 04:10:53,62.46,-114.35,79.0,27,20,12.75
152,Dikson,RU,2020-06-20 04:13:09,73.51,80.55,37.26,80,0,5.53
153,Hasaki,JP,2020-06-20 04:03:30,35.73,140.83,84.99,74,75,5.82
154,Willowmore,ZA,2020-06-20 04:13:10,-33.29,23.49,46.04,54,27,4.59
155,Maceio,BR,2020-06-20 04:03:55,-9.67,-35.74,75.2,88,40,3.36
156,Brufut,GM,2020-06-20 04:13:10,13.38,-16.75,79.68,88,78,10.33
157,Berlevag,NO,2020-06-20 04:04:14,70.86,29.09,43.88,81,100,15.52
158,Millville,US,2020-06-20 04:13:11,39.4,-75.04,70.0,77,40,7.85
159,Portland,US,2020-06-20 03:59:36,45.52,-122.68,78.01,58,100,3.31
160,Khovu-Aksy,RU,2020-06-20 04:13:11,51.13,93.6,67.1,40,82,4.16
161,Borzya,RU,2020-06-20 04:13:11,50.38,116.52,76.59,31,52,8.3
162,Poum,NC,2020-06-20 04:13:12,-20.23,164.02,73.06,78,33,14.16
163,Durres,AL,2020-06-20 04:13:12,41.32,19.44,62.6,88,75,4.7
164,Hilo,US,2020-06-20 04:03:22,19.73,-155.09,80.6,61,90,5.82
165,Acapulco,MX,2020-06-20 04:11:52,16.86,-99.89,81.5,70,91,2.17
166,Sangar,RU,2020-06-20 04:13:13,63.92,127.47,77.97,38,43,6.15
167,Yarmouth,US,2020-06-20 04:13:13,41.71,-70.23,70.0,83,1,12.75
168,Sijunjung,ID,2020-06-20 04:13:13,-0.69,100.95,88.57,54,53,1.54
169,Rakaia,NZ,2020-06-20 04:13:14,-43.75,172.02,50.0,28,93,1.99
170,Faya,SA,2020-06-20 04:13:14,18.39,42.45,69.8,42,89,5.44
171,Lokosovo,RU,2020-06-20 04:13:14,61.13,74.82,50.65,55,100,6.33
172,Tricase,IT,2020-06-20 04:13:14,39.93,18.36,68.0,93,75,2.24
173,Quang Ngai,VN,2020-06-20 04:13:15,15.12,108.8,93.99,51,2,8.81
174,Sungaipenuh,ID,2020-06-20 04:13:15,-2.08,101.38,79.18,63,91,1.7
175,Arlit,NE,2020-06-20 04:13:15,18.74,7.39,89.31,16,0,5.88
176,Shu,KZ,2020-06-20 04:13:15,43.6,73.76,73.0,69,0,3.0
177,Victoria,HK,2020-06-20 04:08:47,22.29,114.16,93.0,66,26,15.01
178,Alekseyevsk,RU,2020-06-20 04:13:16,57.84,108.35,76.8,33,0,3.85
