City_ID,City,Country,Max Temp,Current Description,Rain (inches),Snow (inches),Lat,Lng,Hotel Name
339,Saint-Joseph,RE,68.0,broken clouds,0.0,0,-21.37,55.62,"""Plantation Bed and Breakfast"
340,Paita,PE,69.03,clear sky,0.0,0,-5.09,-81.11,Hotel Náutico de Paita
341,Kidal,ML,94.35,clear sky,0.0,0,18.44,1.41,
342,Bosaso,SO,93.63,clear sky,0.0,0,11.28,49.18,Red Sea Hotel
344,Sao Jose Da Coroa Grande,BR,76.8,clear sky,0.0,0,-8.9,-35.15,Crôa Mares Hotel
345,Kaniama,CD,67.08,clear sky,0.0,0,-7.57,24.18,
348,Teteven,BG,66.2,broken clouds,0.0,0,42.92,24.27,Family Hotel Teteven
351,Beloha,MG,64.02,clear sky,0.0,0,-25.17,45.05,
352,Qiqihar,CN,63.5,scattered clouds,0.0,0,47.34,123.97,Ji Hotel Qiqihar Bu Kui Street
353,Goderich,CA,86.0,overcast clouds,0.0,0,43.75,-81.72,Harmony Inn
354,Marsh Harbour,BS,82.33,broken clouds,0.0,0,26.54,-77.06,Abaco Beach Resort
355,North Bend,US,62.6,mist,0.0,0,43.41,-124.22,Red Lion Hotel Coos Bay
357,Karratha,AU,67.46,clear sky,0.0,0,-20.74,116.85,ibis Styles Karratha
358,Marzuq,YE,86.11,overcast clouds,0.0,0,14.4,46.47,
359,Guerrero Negro,MX,73.76,clear sky,0.0,0,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
360,Kyabe,TD,79.23,broken clouds,0.0,0,9.45,18.94,
361,Fare,PF,80.4,scattered clouds,0.0,0,-16.7,-151.02,Maitai Lapita Village Huahine
362,Sherbrooke,CA,89.6,few clouds,0.0,0,45.4,-71.9,Grand Times Hotel Sherbrooke
363,Itoman,JP,82.4,broken clouds,0.0,0,26.12,127.67,Southern Beach Hotel & Resort Okinawa
364,Tecoanapa,MX,88.83,broken clouds,0.0,0,16.52,-98.75,Hotel Manglares
366,Catamarca,AR,79.0,clear sky,0.0,0,-28.47,-65.79,Amerian Catamarca Park Hotel
367,San Ignacio,BZ,93.2,scattered clouds,0.0,0,17.16,-89.07,Rainforest Haven Inn
