City_ID,City,Country,Max Temp,Current Description,Humidity,Cloudiness,Rain (inches),Snow (inches),Wind Speed,Lat,Lng
300,Villarrica,PY,76.06,clear sky,73,0,0.0,0,6.31,-25.75,-56.43
301,Belle Fourche,US,73.99,overcast clouds,43,97,0.0,0,3.0,44.67,-103.85
302,Penukonda,IN,76.98,broken clouds,68,83,0.0,0,18.3,14.08,77.58
303,Katherine,AU,60.8,clear sky,77,0,0.0,0,4.7,-14.47,132.27
304,Tiznit,MA,67.46,clear sky,70,0,0.0,0,3.04,29.58,-9.5
305,Nadvoitsy,RU,44.67,clear sky,81,0,0.0,0,3.67,63.87,34.32
306,Livingston,GB,61.0,few clouds,51,23,0.0,0,4.7,55.9,-3.52
307,Esso,RU,58.71,broken clouds,66,59,0.0,0,3.94,55.93,158.7
308,Makat,KZ,81.93,broken clouds,21,69,0.0,0,15.21,47.65,53.35
309,Potam,MX,106.0,clear sky,14,5,0.0,0,9.17,27.6,-110.38
310,Tocopilla,CL,65.71,few clouds,55,22,0.0,0,7.16,-22.09,-70.2
311,Lebu,CL,52.84,light rain,85,50,0.65,0,13.35,-37.62,-73.65
